Bore_ID,year,month,day,RSWL_from_SWL
bore_141243,2000,11,24,101.58
bore_141243,2000,12,13,101.16
bore_141243,2001,1,18,100.51
bore_141243,2001,2,16,100.12
bore_141243,2001,3,20,99.87
bore_141243,2001,4,17,99.72
bore_141243,2001,5,8,99.68
bore_141243,2001,6,15,99.7
bore_141243,2001,7,20,99.75
bore_141243,2001,8,17,102.11
bore_141243,2001,9,17,102.06
bore_141243,2001,10,11,102.16
bore_141243,2001,11,12,102.21
bore_141243,2001,12,13,102.05
bore_141243,2002,1,15,101.44
bore_141243,2002,2,28,101.17
bore_141243,2002,3,21,100.76
bore_141243,2002,4,10,100.52
bore_141243,2002,5,24,100.54
bore_141243,2002,6,26,101.06
bore_141243,2002,7,18,102.16
bore_141243,2002,8,16,102.14
bore_141243,2002,9,30,102.16
bore_141243,2002,10,21,102.03
bore_141243,2002,11,25,101.48
bore_141243,2002,12,17,101.21
bore_141243,2003,1,28,100.5
bore_141243,2003,2,25,100.18
bore_141243,2003,3,25,99.98
bore_141243,2003,4,15,99.89
bore_141243,2003,5,13,99.78
bore_141243,2003,6,11,99.72
bore_141243,2003,7,23,99.91
bore_141243,2003,8,21,101.9
bore_141243,2003,9,22,102.12
bore_141243,2003,10,15,102.01
bore_141243,2003,11,11,101.85
bore_141243,2003,12,11,101.26
bore_141243,2004,1,22,100.6
bore_141243,2004,2,26,100.23
bore_141243,2004,3,30,100.01
bore_141243,2004,4,22,99.87
bore_141243,2004,5,12,99.87
bore_141243,2004,6,8,99.87
bore_141243,2004,7,12,102.19
bore_141243,2004,8,25,102.07
bore_141243,2004,9,23,102.14
bore_141243,2004,10,27,102.01
bore_141243,2004,11,24,101.69
bore_141243,2004,12,8,101.56
bore_141243,2005,1,26,100.77
bore_141243,2005,2,21,101.05
bore_141243,2005,3,23,100.58
bore_141243,2005,4,14,100.32
bore_141243,2005,5,25,100.05
bore_141243,2005,6,29,100.26
bore_141243,2005,7,26,101.31
bore_141243,2005,8,31,102.14
bore_141243,2005,9,26,102.06
bore_141243,2005,10,20,102.14
bore_141243,2005,11,22,101.41
bore_141243,2005,12,13,101.04
bore_141243,2006,1,24,100.31
bore_141243,2006,2,24,100.02
bore_141243,2006,3,28,99.82
bore_141243,2006,4,22,99.76
bore_141243,2006,5,25,100.41
bore_141243,2006,6,16,100.2
bore_141243,2006,7,29,101.74
bore_141243,2006,8,14,101.82
bore_141243,2006,9,23,101.43
bore_141243,2006,10,22,100.92
bore_141243,2006,11,9,100.64
bore_141243,2006,12,18,100.08
bore_141243,2007,1,21,99.87
bore_141243,2007,2,14,99.76
bore_141243,2007,3,24,99.53
bore_141243,2007,4,25,99.41
bore_141243,2007,5,8,99.39
bore_141243,2007,6,11,99.45
bore_141243,2007,7,14,101.88
bore_141243,2007,8,14,102.15
bore_141243,2007,9,12,102.13
bore_141243,2007,10,10,102.09
bore_141243,2007,11,14,101.61
bore_141243,2007,12,19,100.86
bore_141243,2008,1,17,100.47
bore_141243,2008,2,12,100.16
bore_141243,2008,3,13,99.82
bore_141243,2008,4,17,99.7
bore_141243,2008,5,13,99.61
bore_141243,2008,6,13,99.55
bore_141243,2008,6,25,99.547
bore_141243,2008,7,10,101.13
bore_141243,2008,8,12,102.18
bore_141243,2008,9,10,102.07
bore_141243,2008,10,13,101.67
bore_141243,2008,11,11,101.22
bore_141243,2008,12,11,100.74
bore_141243,2009,1,13,100.54
bore_141243,2009,2,11,100.07
bore_141243,2009,3,10,99.82
bore_141243,2009,4,15,99.64
bore_141243,2009,4,30,99.56
bore_141243,2009,5,14,99.61
bore_141243,2009,6,11,100.45
bore_141243,2009,7,17,102.02
bore_141243,2009,8,12,102.12
bore_141243,2009,9,10,102.14
bore_141243,2009,10,16,102.19
bore_141243,2009,11,13,101.56
bore_141243,2009,12,17,101.2
bore_141243,2010,1,19,100.57
bore_141243,2010,2,10,100.23
bore_141243,2010,3,17,99.99
bore_141243,2010,4,16,99.84
bore_141243,2010,5,20,99.81
bore_141243,2010,6,18,99.82
bore_141243,2010,7,21,100.67
bore_141243,2010,8,12,102.2
bore_141243,2010,9,22,102.14
bore_141243,2010,10,22,102.1
bore_141243,2010,11,9,101.95
bore_141243,2010,12,16,102.05
bore_141243,2011,1,19,101.94
bore_141243,2011,2,11,101.35
bore_141243,2011,3,10,101.24
bore_141243,2011,4,12,101.99
bore_141243,2011,5,10,101.78
bore_141243,2011,6,16,102.13
bore_141243,2011,7,13,102.22
bore_141243,2011,8,23,102.14
bore_141243,2011,9,29,101.86
bore_141243,2011,10,24,101.79
bore_141243,2011,11,22,101.37
bore_141243,2011,12,20,100.91
bore_141243,2012,1,23,100.44
bore_141243,2012,2,28,100.04
bore_141243,2012,3,29,99.88
bore_141243,2012,4,24,99.8
bore_141243,2012,5,21,99.71
bore_141243,2012,6,25,100.34
bore_141243,2012,7,26,102.11
bore_141243,2012,8,27,102.15
bore_141243,2012,9,28,102.1
bore_141243,2012,10,26,101.88
bore_141243,2012,11,27,101.27
bore_141243,2012,12,28,100.79
bore_141243,2013,1,23,100.4
bore_141243,2013,2,27,100.16
bore_141243,2013,3,25,99.93
bore_141243,2013,4,25,99.76
bore_141243,2013,5,27,99.81
bore_141243,2013,6,24,99.98
bore_141243,2013,7,26,100.19
bore_141243,2013,8,29,102.18
bore_141243,2013,9,26,102.13
bore_141243,2013,10,24,102.2
bore_141243,2013,11,26,102.08
bore_141243,2013,12,23,101.56
bore_141243,2014,1,31,100.76
bore_141243,2014,2,26,100.42
bore_141243,2014,3,26,100.22
bore_141243,2014,4,22,100.07
bore_141243,2014,5,28,100.07
bore_141243,2014,6,23,100.62
bore_141243,2014,7,22,102.14
bore_141243,2014,8,28,102.12
bore_141243,2014,9,23,101.8
bore_141243,2014,10,31,101.33
bore_141243,2014,11,26,100.86
bore_141243,2014,12,22,100.47
bore_141243,2015,1,27,100.18
bore_141243,2015,2,23,99.91
bore_141243,2015,3,24,99.77
bore_141243,2015,4,27,99.66
bore_141243,2015,5,25,99.66
bore_141243,2015,6,24,99.82
bore_141243,2015,7,27,101.62
bore_141243,2015,8,25,101.99
bore_141243,2015,9,25,101.9
bore_141243,2015,10,29,101.1
bore_141243,2015,11,26,100.89
bore_141243,2015,12,21,100.29
bore_141243,2016,1,29,99.9
bore_141243,2016,2,25,99.71
bore_141243,2016,3,23,99.52
bore_141243,2016,4,29,99.39
