Bore_ID,year,month,day,RSWL_from_SWL
bore_WRK961326,2003,11,10,15.34
bore_WRK961326,2003,12,11,15.2
bore_WRK961326,2004,1,22,15.13
bore_WRK961326,2004,2,26,15.16
bore_WRK961326,2004,3,30,15.13
bore_WRK961326,2004,4,22,15.11
bore_WRK961326,2004,5,5,15.16
bore_WRK961326,2004,6,8,15.19
bore_WRK961326,2004,7,12,15.61
bore_WRK961326,2004,8,24,15.62
bore_WRK961326,2004,9,23,15.68
bore_WRK961326,2004,10,27,15.4
bore_WRK961326,2004,11,24,15.33
bore_WRK961326,2004,12,8,15.28
bore_WRK961326,2005,1,26,15.19
bore_WRK961326,2005,2,21,15.17
bore_WRK961326,2005,3,23,15.25
bore_WRK961326,2005,4,14,15.23
bore_WRK961326,2005,5,24,15.15
bore_WRK961326,2005,6,29,15.21
bore_WRK961326,2005,7,26,15.23
bore_WRK961326,2005,8,30,15.28
bore_WRK961326,2005,9,26,15.28
bore_WRK961326,2005,10,20,15.33
bore_WRK961326,2005,11,21,15.19
bore_WRK961326,2005,12,13,15.14
bore_WRK961326,2006,1,24,15.14
bore_WRK961326,2006,2,23,15.18
bore_WRK961326,2006,3,27,15.16
bore_WRK961326,2006,4,21,15.18
bore_WRK961326,2006,5,24,15.17
bore_WRK961326,2006,6,16,15.23
bore_WRK961326,2006,8,14,15.19
bore_WRK961326,2006,9,23,15.15
bore_WRK961326,2006,10,22,15.08
bore_WRK961326,2006,11,9,15.12
bore_WRK961326,2006,12,18,15.06
bore_WRK961326,2007,1,21,15.03
bore_WRK961326,2007,2,14,15.1
bore_WRK961326,2007,3,23,15.03
bore_WRK961326,2007,4,25,15.08
bore_WRK961326,2007,5,9,15.11
bore_WRK961326,2007,6,11,15.17
bore_WRK961326,2007,7,14,15.34
bore_WRK961326,2007,8,14,15.48
bore_WRK961326,2007,9,12,15.29
bore_WRK961326,2007,10,10,15.38
bore_WRK961326,2007,11,14,15.5
bore_WRK961326,2008,1,17,15.14
bore_WRK961326,2008,2,11,15.19
bore_WRK961326,2008,3,13,15.1
bore_WRK961326,2008,4,17,15.17
bore_WRK961326,2008,5,14,15.15
bore_WRK961326,2008,6,12,15.15
bore_WRK961326,2008,7,10,15.33
bore_WRK961326,2008,8,11,15.5
bore_WRK961326,2008,9,10,15.47
bore_WRK961326,2008,10,13,15.32
bore_WRK961326,2008,11,11,15.3
bore_WRK961326,2008,12,12,15.27
bore_WRK961326,2009,1,13,15.19
bore_WRK961326,2009,2,11,15.15
bore_WRK961326,2009,3,10,15.16
bore_WRK961326,2009,4,15,15.18
bore_WRK961326,2009,5,15,15.16
bore_WRK961326,2009,6,11,15.34
bore_WRK961326,2009,7,17,15.37
bore_WRK961326,2009,8,12,15.43
bore_WRK961326,2009,9,10,15.75
bore_WRK961326,2009,10,16,15.58
bore_WRK961326,2009,11,13,15.39
bore_WRK961326,2009,12,17,15.32
bore_WRK961326,2010,1,19,15.23
bore_WRK961326,2010,2,11,15.11
bore_WRK961326,2010,3,17,15.2
bore_WRK961326,2010,4,16,15.23
bore_WRK961326,2010,5,20,15.3
bore_WRK961326,2010,6,18,15.32
bore_WRK961326,2010,7,21,15.32
bore_WRK961326,2010,8,12,16.21
bore_WRK961326,2010,9,22,15.76
bore_WRK961326,2010,10,22,15.54
bore_WRK961326,2010,11,9,15.5
bore_WRK961326,2010,12,16,15.75
bore_WRK961326,2011,1,19,15.93
bore_WRK961326,2011,2,11,15.4
bore_WRK961326,2011,3,10,15.34
bore_WRK961326,2011,4,12,15.44
bore_WRK961326,2011,5,10,15.38
bore_WRK961326,2011,6,16,15.51
bore_WRK961326,2011,7,12,16.13
bore_WRK961326,2011,8,24,15.66
bore_WRK961326,2011,9,30,15.47
bore_WRK961326,2011,10,24,15.41
bore_WRK961326,2011,11,21,15.35
bore_WRK961326,2011,12,20,15.3
bore_WRK961326,2012,1,23,15.23
bore_WRK961326,2012,2,27,15.18
bore_WRK961326,2012,3,29,15.21
bore_WRK961326,2012,4,24,15.22
bore_WRK961326,2012,5,22,15.23
bore_WRK961326,2012,6,25,15.28
bore_WRK961326,2012,7,26,15.41
bore_WRK961326,2012,8,27,15.59
bore_WRK961326,2012,9,28,15.34
bore_WRK961326,2012,10,26,15.4
bore_WRK961326,2012,11,28,15.29
bore_WRK961326,2012,12,28,15.22
bore_WRK961326,2013,1,23,15.17
bore_WRK961326,2013,2,27,15.15
bore_WRK961326,2013,3,25,15.16
bore_WRK961326,2013,4,25,15.19
bore_WRK961326,2013,5,27,15.28
bore_WRK961326,2013,6,24,15.31
bore_WRK961326,2013,7,26,15.49
bore_WRK961326,2013,8,29,15.89
bore_WRK961326,2013,9,26,15.59
bore_WRK961326,2013,10,24,15.94
bore_WRK961326,2013,11,26,15.5
bore_WRK961326,2013,12,24,15.38
bore_WRK961326,2014,1,31,15.23
bore_WRK961326,2014,2,25,15.21
bore_WRK961326,2014,3,26,15.22
bore_WRK961326,2014,4,22,15.22
bore_WRK961326,2014,5,27,15.21
bore_WRK961326,2014,6,23,15.21
bore_WRK961326,2014,7,22,15.81
bore_WRK961326,2014,8,28,15.67
bore_WRK961326,2014,9,23,15.44
bore_WRK961326,2014,10,31,15.32
bore_WRK961326,2014,11,25,15.26
bore_WRK961326,2014,12,22,15.21
bore_WRK961326,2015,1,27,15.2
bore_WRK961326,2015,2,23,15.1
bore_WRK961326,2015,3,24,15.17
bore_WRK961326,2015,4,27,15.2
bore_WRK961326,2015,5,25,15.19
bore_WRK961326,2015,6,24,15.26
bore_WRK961326,2015,7,27,15.24
bore_WRK961326,2015,8,25,15.32
bore_WRK961326,2015,9,25,15.31
bore_WRK961326,2015,10,29,15.2
bore_WRK961326,2015,11,26,15.16
bore_WRK961326,2015,12,21,15.12
bore_WRK961326,2016,1,29,15.08
bore_WRK961326,2016,2,25,15.1
bore_WRK961326,2016,3,23,15.07
bore_WRK961326,2016,4,29,15.05
bore_WRK961326,2016,5,24,15.2
bore_WRK961326,2016,6,27,15.31
bore_WRK961326,2018,1,9,15.71
bore_WRK961326,2018,2,10,15.46
bore_WRK961326,2018,7,7,15.47
bore_WRK961326,2018,7,15,15.53
bore_WRK961326,2018,7,22,15.71
bore_WRK961326,2018,9,15,15.53
bore_WRK961326,2018,9,30,15.45
bore_WRK961326,2018,10,15,15.41
bore_WRK961326,2018,10,30,15.38
bore_WRK961326,2018,10,31,15.38
bore_WRK961326,2018,11,1,15.38
bore_WRK961326,2018,11,2,15.37
bore_WRK961326,2018,11,3,15.36
bore_WRK961326,2018,11,4,15.37
bore_WRK961326,2018,11,5,15.37
bore_WRK961326,2018,11,6,15.37
bore_WRK961326,2018,11,7,15.36
bore_WRK961326,2018,11,8,15.36
bore_WRK961326,2018,11,9,15.36
bore_WRK961326,2018,11,10,15.36
bore_WRK961326,2018,11,11,15.36
bore_WRK961326,2018,11,12,15.35
bore_WRK961326,2018,11,13,15.35
bore_WRK961326,2018,11,14,15.34
bore_WRK961326,2018,11,15,15.34
bore_WRK961326,2018,11,16,15.34
bore_WRK961326,2018,11,17,15.34
bore_WRK961326,2018,11,18,15.34
bore_WRK961326,2018,11,19,15.34
bore_WRK961326,2018,11,20,15.34
bore_WRK961326,2018,11,21,15.34
bore_WRK961326,2018,11,22,15.34
bore_WRK961326,2018,11,23,15.34
bore_WRK961326,2018,11,24,15.34
bore_WRK961326,2018,11,25,15.35
bore_WRK961326,2018,11,26,15.35
bore_WRK961326,2018,11,27,15.34
bore_WRK961326,2018,11,28,15.34
bore_WRK961326,2018,11,29,15.33
bore_WRK961326,2018,11,30,15.33
bore_WRK961326,2018,12,1,15.32
bore_WRK961326,2018,12,2,15.33
bore_WRK961326,2018,12,3,15.33
bore_WRK961326,2018,12,4,15.33
bore_WRK961326,2018,12,5,15.32
bore_WRK961326,2018,12,6,15.32
bore_WRK961326,2018,12,7,15.31
bore_WRK961326,2018,12,8,15.31
bore_WRK961326,2018,12,9,15.31
bore_WRK961326,2018,12,10,15.31
bore_WRK961326,2018,12,11,15.3
bore_WRK961326,2018,12,12,15.31
bore_WRK961326,2018,12,13,15.31
bore_WRK961326,2018,12,14,15.31
bore_WRK961326,2018,12,15,15.32
bore_WRK961326,2018,12,16,15.31
bore_WRK961326,2018,12,17,15.31
bore_WRK961326,2018,12,18,15.31
bore_WRK961326,2018,12,19,15.31
bore_WRK961326,2018,12,20,15.3
bore_WRK961326,2018,12,21,15.3
bore_WRK961326,2018,12,22,15.3
bore_WRK961326,2018,12,23,15.29
bore_WRK961326,2018,12,27,15.28
bore_WRK961326,2018,12,28,15.28
bore_WRK961326,2018,12,29,15.27
bore_WRK961326,2018,12,30,15.27
bore_WRK961326,2018,12,31,15.26
bore_WRK961326,2019,1,1,15.26
bore_WRK961326,2019,1,2,15.26
bore_WRK961326,2019,1,3,15.26
bore_WRK961326,2019,1,4,15.26
bore_WRK961326,2019,1,5,15.25
bore_WRK961326,2019,1,6,15.24
bore_WRK961326,2019,1,7,15.25
bore_WRK961326,2019,1,8,15.24
bore_WRK961326,2019,1,9,15.24
bore_WRK961326,2019,1,10,15.24
bore_WRK961326,2019,1,11,15.24
bore_WRK961326,2019,1,12,15.23
bore_WRK961326,2019,1,13,15.23
bore_WRK961326,2019,1,14,15.23
bore_WRK961326,2019,1,15,15.22
bore_WRK961326,2019,1,16,15.23
bore_WRK961326,2019,1,17,15.22
bore_WRK961326,2019,1,18,15.22
bore_WRK961326,2019,1,19,15.22
bore_WRK961326,2019,1,20,15.22
bore_WRK961326,2019,1,21,15.22
bore_WRK961326,2019,1,22,15.21
bore_WRK961326,2019,1,23,15.21
bore_WRK961326,2019,1,24,15.22
bore_WRK961326,2019,1,25,15.21
bore_WRK961326,2019,1,26,15.21
bore_WRK961326,2019,1,27,15.2
bore_WRK961326,2019,1,28,15.2
bore_WRK961326,2019,1,29,15.2
bore_WRK961326,2019,1,30,15.2
bore_WRK961326,2019,1,31,15.18
bore_WRK961326,2019,2,1,15.19
bore_WRK961326,2019,2,2,15.19
bore_WRK961326,2019,2,3,15.19
bore_WRK961326,2019,2,4,15.19
bore_WRK961326,2019,2,5,15.19
bore_WRK961326,2019,2,6,15.19
bore_WRK961326,2019,2,7,15.22
bore_WRK961326,2019,2,8,15.22
bore_WRK961326,2019,2,9,15.22
bore_WRK961326,2019,2,10,15.23
bore_WRK961326,2019,2,11,15.23
bore_WRK961326,2019,2,12,15.24
bore_WRK961326,2019,2,13,15.24
bore_WRK961326,2019,2,14,15.24
bore_WRK961326,2019,2,15,15.24
bore_WRK961326,2019,2,16,15.24
bore_WRK961326,2019,2,17,15.24
bore_WRK961326,2019,2,18,15.24
bore_WRK961326,2019,2,19,15.23
bore_WRK961326,2019,2,20,15.22
bore_WRK961326,2019,2,21,15.22
bore_WRK961326,2019,2,22,15.22
bore_WRK961326,2019,2,23,15.22
bore_WRK961326,2019,2,24,15.22
bore_WRK961326,2019,2,25,15.21
bore_WRK961326,2019,2,26,15.21
bore_WRK961326,2019,2,27,15.2
bore_WRK961326,2019,2,28,15.2
bore_WRK961326,2019,3,1,15.2
bore_WRK961326,2019,3,2,15.19
bore_WRK961326,2019,3,3,15.18
bore_WRK961326,2019,3,4,15.19
bore_WRK961326,2019,3,5,15.19
bore_WRK961326,2019,3,6,15.19
bore_WRK961326,2019,3,7,15.19
bore_WRK961326,2019,3,8,15.19
bore_WRK961326,2019,3,9,15.19
bore_WRK961326,2019,3,10,15.19
bore_WRK961326,2019,3,11,15.2
bore_WRK961326,2019,3,12,15.2
bore_WRK961326,2019,3,13,15.2
bore_WRK961326,2019,3,14,15.2
bore_WRK961326,2019,3,15,15.2
bore_WRK961326,2019,3,16,15.2
bore_WRK961326,2019,3,17,15.19
bore_WRK961326,2019,3,18,15.19
bore_WRK961326,2019,3,19,15.2
bore_WRK961326,2019,3,20,15.2
bore_WRK961326,2019,3,21,15.21
bore_WRK961326,2019,3,22,15.21
bore_WRK961326,2019,3,23,15.21
bore_WRK961326,2019,3,24,15.21
bore_WRK961326,2019,3,25,15.21
bore_WRK961326,2019,3,26,15.21
bore_WRK961326,2019,3,27,15.21
bore_WRK961326,2019,3,28,15.21
bore_WRK961326,2019,3,29,15.22
bore_WRK961326,2019,3,30,15.22
bore_WRK961326,2019,3,31,15.23
bore_WRK961326,2019,4,1,15.23
bore_WRK961326,2019,4,2,15.23
bore_WRK961326,2019,4,3,15.23
bore_WRK961326,2019,4,4,15.23
bore_WRK961326,2019,4,5,15.23
bore_WRK961326,2019,4,6,15.23
bore_WRK961326,2019,4,7,15.23
bore_WRK961326,2019,4,8,15.24
bore_WRK961326,2019,4,9,15.23
bore_WRK961326,2019,4,10,15.23
bore_WRK961326,2019,4,11,15.24
bore_WRK961326,2019,4,12,15.24
bore_WRK961326,2019,4,13,15.24
bore_WRK961326,2019,4,14,15.24
bore_WRK961326,2019,4,15,15.24
bore_WRK961326,2019,4,16,15.24
bore_WRK961326,2019,4,17,15.23
bore_WRK961326,2019,4,18,15.23
bore_WRK961326,2019,4,19,15.23
bore_WRK961326,2019,4,20,15.23
bore_WRK961326,2019,4,21,15.23
bore_WRK961326,2019,4,22,15.23
bore_WRK961326,2019,4,23,15.23
bore_WRK961326,2019,4,24,15.23
bore_WRK961326,2019,4,25,15.23
bore_WRK961326,2019,4,26,15.23
bore_WRK961326,2019,4,27,15.23
bore_WRK961326,2019,4,28,15.24
bore_WRK961326,2019,4,29,15.25
bore_WRK961326,2019,4,30,15.25
bore_WRK961326,2019,5,1,15.24
bore_WRK961326,2019,5,2,15.24
bore_WRK961326,2019,5,3,15.24
bore_WRK961326,2019,5,4,15.25
bore_WRK961326,2019,5,5,15.25
bore_WRK961326,2019,5,6,15.25
bore_WRK961326,2019,5,7,15.25
bore_WRK961326,2019,5,8,15.25
bore_WRK961326,2019,5,9,15.26
bore_WRK961326,2019,5,10,15.27
bore_WRK961326,2019,5,11,15.28
bore_WRK961326,2019,5,12,15.28
bore_WRK961326,2019,5,13,15.28
bore_WRK961326,2019,5,14,15.28
bore_WRK961326,2019,5,15,15.28
bore_WRK961326,2019,5,16,15.28
bore_WRK961326,2019,5,17,15.28
bore_WRK961326,2019,5,18,15.28
bore_WRK961326,2019,5,19,15.28
bore_WRK961326,2019,5,20,15.28
bore_WRK961326,2019,5,21,15.28
bore_WRK961326,2019,5,22,15.28
bore_WRK961326,2019,5,23,15.28
bore_WRK961326,2019,5,24,15.28
bore_WRK961326,2019,5,25,15.28
bore_WRK961326,2019,5,26,15.29
bore_WRK961326,2019,5,27,15.3
bore_WRK961326,2019,5,28,15.3
bore_WRK961326,2019,5,29,15.31
bore_WRK961326,2019,5,30,15.32
bore_WRK961326,2019,5,31,15.32
bore_WRK961326,2019,6,1,15.33
bore_WRK961326,2019,6,2,15.33
bore_WRK961326,2019,6,3,15.33
bore_WRK961326,2019,6,4,15.34
bore_WRK961326,2019,6,5,15.34
bore_WRK961326,2019,6,6,15.33
bore_WRK961326,2019,6,7,15.34
bore_WRK961326,2019,6,8,15.34
