BoreID,Year,Month,Day,Hour,Minute,Obs_Head 
bore_WRK961324,2013,7,26,0,0,37.13
bore_WRK961324,2013,8,29,0,0,38.06
bore_WRK961324,2013,9,26,0,0,37.84
bore_WRK961324,2013,10,24,0,0,38.24
bore_WRK961324,2013,11,26,0,0,37.58
bore_WRK961324,2013,12,23,0,0,37.34
bore_WRK961324,2014,1,31,0,0,36.85
bore_WRK961324,2014,2,26,0,0,36.72
bore_WRK961324,2014,3,26,0,0,36.72
bore_WRK961324,2014,4,22,0,0,36.72
bore_WRK961324,2014,5,28,0,0,36.9
bore_WRK961324,2014,6,23,0,0,37
bore_WRK961324,2014,7,22,0,0,38.11
bore_WRK961324,2014,8,28,0,0,37.79
bore_WRK961324,2014,9,23,0,0,37.54
bore_WRK961324,2014,10,31,0,0,37.26
bore_WRK961324,2014,11,26,0,0,37.21
bore_WRK961324,2014,12,22,0,0,36.83
bore_WRK961324,2015,1,27,0,0,36.75
bore_WRK961324,2015,2,23,0,0,36.59
bore_WRK961324,2015,3,24,0,0,36.56
bore_WRK961324,2015,4,27,0,0,36.66
bore_WRK961324,2015,5,25,0,0,36.62
bore_WRK961324,2015,6,24,0,0,36.82
bore_WRK961324,2015,7,27,0,0,37.09
bore_WRK961324,2015,8,25,0,0,37.34
bore_WRK961324,2015,9,25,0,0,37.28
bore_WRK961324,2015,10,29,0,0,36.88
bore_WRK961324,2015,11,26,0,0,36.71
bore_WRK961324,2015,12,21,0,0,36.56
bore_WRK961324,2016,1,29,0,0,36.39
bore_WRK961324,2016,2,25,0,0,36.45
bore_WRK961324,2016,3,23,0,0,36.36
bore_WRK961324,2016,4,29,0,0,36.37
bore_WRK961324,2016,5,24,0,0,36.71
bore_WRK961324,2016,6,27,0,0,37.42
