Bore_ID,year,month,day,RSWL_from_SWL
bore_WRK958154,2002,7,2,267.06
bore_WRK958154,2002,8,7,266.99
bore_WRK958154,2002,8,14,266.88
bore_WRK958154,2002,9,17,266.91
bore_WRK958154,2002,10,29,266.83
bore_WRK958154,2002,12,30,266.71
bore_WRK958154,2003,1,30,266.66
bore_WRK958154,2003,2,27,266.65
bore_WRK958154,2003,3,27,266.54
bore_WRK958154,2003,4,28,266.53
bore_WRK958154,2003,5,29,266.41
bore_WRK958154,2003,6,23,266.41
bore_WRK958154,2003,7,28,266.44
bore_WRK958154,2003,8,26,266.39
bore_WRK958154,2003,11,18,265.95
bore_WRK958154,2004,5,4,266.29
bore_WRK958154,2004,6,7,266.22
bore_WRK958154,2004,7,2,266.2
bore_WRK958154,2004,10,4,266.05
bore_WRK958154,2004,11,8,266.02
bore_WRK958154,2004,12,5,265.99
bore_WRK958154,2005,1,10,266.01
bore_WRK958154,2005,2,4,265.97
bore_WRK958154,2005,3,23,265.99
bore_WRK958154,2005,4,28,265.97
bore_WRK958154,2005,5,12,265.97
bore_WRK958154,2005,6,6,265.96
bore_WRK958154,2005,9,21,265.93
bore_WRK958154,2006,6,29,265.9
bore_WRK958154,2006,7,24,265.91
bore_WRK958154,2006,8,28,265.92
bore_WRK958154,2006,9,15,265.9
bore_WRK958154,2006,10,31,264.87
bore_WRK958154,2006,11,29,265.75
bore_WRK958154,2007,1,8,264.99
bore_WRK958154,2007,4,18,265.59
bore_WRK958154,2007,6,18,265.45
bore_WRK958154,2007,8,15,265.14
bore_WRK958154,2007,9,24,265.2
bore_WRK958154,2007,11,20,265.12
bore_WRK958154,2008,1,8,264.99
bore_WRK958154,2008,4,7,264.85
bore_WRK958154,2008,6,17,264.82
bore_WRK958154,2008,9,23,264.66
bore_WRK958154,2009,1,9,264.26
bore_WRK958154,2009,2,5,264.45
bore_WRK958154,2009,3,5,264.5
bore_WRK958154,2009,4,2,264.48
bore_WRK958154,2009,5,1,264.44
bore_WRK958154,2009,6,3,264.33
bore_WRK958154,2009,7,8,264.33
bore_WRK958154,2009,8,5,264.29
bore_WRK958154,2009,9,8,264.29
bore_WRK958154,2009,10,14,263.92
bore_WRK958154,2009,11,11,263.86
bore_WRK958154,2009,12,9,263.86
bore_WRK958154,2010,1,13,263.78
bore_WRK958154,2010,2,10,263.75
bore_WRK958154,2010,3,10,263.69
bore_WRK958154,2010,4,7,263.71
bore_WRK958154,2010,6,17,263.67
bore_WRK958154,2010,7,7,263.64
bore_WRK958154,2010,8,4,263.63
bore_WRK958154,2010,9,8,263.61
bore_WRK958154,2010,10,6,263.72
bore_WRK958154,2010,11,3,266.73
bore_WRK958154,2010,12,1,266.8
bore_WRK958154,2011,2,4,263.91
bore_WRK958154,2011,3,2,264.29
bore_WRK958154,2011,4,6,264.29
bore_WRK958154,2011,5,4,264.22
bore_WRK958154,2011,6,1,264.31
bore_WRK958154,2011,7,13,264.3
bore_WRK958154,2011,8,14,264.4
bore_WRK958154,2011,9,16,264.4
bore_WRK958154,2011,10,16,264.54
bore_WRK958154,2011,11,16,264.51
bore_WRK958154,2011,12,15,264.58
bore_WRK958154,2012,1,9,264.6
bore_WRK958154,2012,2,8,264.61
bore_WRK958154,2012,3,2,264.64
bore_WRK958154,2012,4,11,264.57
bore_WRK958154,2017,4,10,264.45
